rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
294,#area35062,Mahoutsukai no Yome,TV,24,2017,386535,8.2
295,#area32902,Mahoutsukai no Yome: Hoshi Matsu Hito,OVA,3,2016,164084,8.2
296,#area4477,Nodame Cantabile: Paris-hen,TV,11,2008,89884,8.2
297,#area15323,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,Special,1,2012,36756,8.2
298,#area4722,Skip Beat!,TV,25,2008,173298,8.2
299,#area3901,Baccano! Specials,Special,3,2008,125635,8.2
300,#area3701,Kaiba,TV,12,2008,83885,8.2
301,#area16067,Nagi no Asu kara,TV,26,2013,339490,8.2
302,#area23623,Non Non Biyori Repeat,TV,12,2015,101776,8.2
303,#area4107,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,Movie,1,2008,100384,8.2
304,#area24277,Yowamushi Pedal: Grande Road,TV,24,2014,77651,8.2
305,#area24833,Ansatsu Kyoushitsu,TV,22,2015,657655,8.2
306,#area232,Cardcaptor Sakura,TV,70,1998,252752,8.2
307,#area3702,Detroit Metal City,OVA,12,2008,142507,8.2
308,#area27821,Fate/stay night: Unlimited Blade Works - Prologue,Special,1,2014,166512,8.2
309,#area37675,Overlord III,TV,13,2018,217392,8.2
310,#area721,Princess Tutu,TV,38,2002,99504,8.2
311,#area11123,Sekaiichi Hatsukoi 2,TV,12,2011,94802,8.2
312,#area1559,Shijou Saikyou no Deshi Kenichi,TV,50,2006,180993,8.2
313,#area440,Shoujo Kakumei Utena,TV,39,1997,113871,8.2
314,#area2025,Darker than Black: Kuro no Keiyakusha,TV,25,2007,595968,8.2
315,#area1367,Detective Conan Movie 08: Magician of the Silver Sky,Movie,1,2004,32106,8.2
316,#area239,Gankutsuou,TV,24,2004,140867,8.2
317,#area16706,Kami nomi zo Shiru Sekai: Megami-hen,TV,12,2013,204203,8.2
318,#area8129,Kuragehime,TV,11,2010,142467,8.2
319,#area14513,Magi: The Labyrinth of Magic,TV,25,2012,511836,8.2
320,#area2581,Mobile Suit Gundam 00,TV,25,2007,151569,8.2
321,#area11597,Nisemonogatari,TV,11,2012,394224,8.2
322,#area1827,Seirei no Moribito,TV,26,2007,140229,8.2
323,#area5681,Summer Wars,Movie,1,2009,321155,8.2
324,#area4938,Tsubasa: Shunraiki,OVA,2,2009,47707,8.2
325,#area34076,Uchouten Kazoku 2,TV,12,2017,37428,8.2
326,#area2167,Clannad,TV,23,2007,789278,8.1
327,#area1506,Detective Conan Movie 10: Requiem of the Detectives,Movie,1,2006,31042,8.1
328,#area21419,Detective Conan Movie 18: The Sniper from Another Dimension,Movie,1,2014,20831,8.1
329,#area18689,Diamond no Ace,TV,75,2013,118186,8.1
330,#area12069,Hajime no Ippo: Boxer no Kobushi,Special,1,2003,28823,8.1
331,#area7054,Kaichou wa Maid-sama!,TV,26,2010,570934,8.1
332,#area33323,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",OVA,1,2016,23223,8.1
333,#area16662,Kaze Tachinu,Movie,1,2013,127861,8.1
334,#area1735,Naruto: Shippuuden,TV,500,2007,874387,8.1
335,#area28025,Tsukimonogatari,TV,4,2014,201974,8.1
336,#area23283,Zankyou no Terror,TV,11,2014,558204,8.1
337,#area27833,Durarara!!x2 Ketsu,TV,12,2016,200760,8.1
338,#area1566,Ghost in the Shell: Stand Alone Complex - Solid State Society,Special,1,2006,72745,8.1
339,#area3371,Ginga Eiyuu Densetsu Gaiden,OVA,24,1998,12792,8.1
340,#area8425,Gosick,TV,24,2011,328878,8.1
341,#area18679,Kill la Kill,TV,24,2013,837058,8.1
342,#area12031,Kingdom,TV,38,2012,83496,8.1
343,#area30831,Kono Subarashii Sekai ni Shukufuku wo!,TV,10,2016,672682,8.1
344,#area1430,Lupin III: Cagliostro no Shiro,Movie,1,1979,51268,8.1
345,#area35857,Lupin III: Part 5,TV,24,2018,15414,8.1
346,#area1257,Saint Seiya: Meiou Hades Juuni Kyuu-hen,OVA,13,2002,33410,8.1
347,#area35838,Shoujo Shuumatsu Ryokou,TV,12,2017,134608,8.1
348,#area33161,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,OVA,1,2016,91417,8.1
349,#area25013,Akatsuki no Yona,TV,24,2014,373357,8.1
350,#area1974,Glass no Kamen (2005),TV,51,2005,23565,8.1
351,#area731,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,Music,1,2003,43580,8.1
352,#area33206,Kobayashi-san Chi no Maid Dragon,TV,13,2017,411157,8.1
353,#area3927,Mobile Suit Gundam 00 Second Season,TV,25,2008,106801,8.1
354,#area47,Akira,Movie,1,1988,345220,8.1
355,#area3167,Eve no Jikan,ONA,6,2008,126836,8.1
356,#area2449,Ghost in the Shell: Stand Alone Complex - The Laughing Man,Special,1,2005,29516,8.1
357,#area3016,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,Movie,1,1993,18188,8.1
358,#area135,Hikaru no Go,TV,75,2001,88724,8.1
359,#area186,Initial D Second Stage,TV,13,1999,81615,8.1
360,#area34626,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,OVA,1,2017,106152,8.1
361,#area2034,Lovely★Complex,TV,24,2007,320805,8.1
362,#area1914,Saiunkoku Monogatari 2nd Season,TV,39,2007,28678,8.1
363,#area29831,Tamayura: Sotsugyou Shashin Part 4 - Ashita,Movie,1,2016,5455,8.1
364,#area5365,Tsumiki no Ie,Movie,1,2008,62585,8.1
