rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
273,#area23327,Space☆Dandy 2nd Season,TV,13,2014,92277,8.2
274,#area1519,Black Lagoon: The Second Barrage,TV,12,2006,278536,8.2
276,#area25681,Kamisama Hajimemashita◎,TV,12,2015,155468,8.2
278,#area962,Aria The Natural,TV,26,2006,50759,8.2
279,#area28223,Death Parade,TV,12,2015,722243,8.2
280,#area235,Detective Conan,TV,928,1996,169950,8.2
285,#area23755,Nanatsu no Taizai,TV,24,2014,732925,8.2
287,#area37171,Asobi Asobase,TV,12,2018,102621,8.2
288,#area20899,JoJo no Kimyou na Bouken: Stardust Crusaders,TV,24,2014,270744,8.2
290,#area1453,Maison Ikkoku,TV,96,1986,34679,8.2
293,#area18,Initial D Fourth Stage,TV,24,2004,72171,8.2
294,#area35062,Mahoutsukai no Yome,TV,24,2017,386535,8.2
296,#area4477,Nodame Cantabile: Paris-hen,TV,11,2008,89884,8.2
298,#area4722,Skip Beat!,TV,25,2008,173298,8.2
300,#area3701,Kaiba,TV,12,2008,83885,8.2
301,#area16067,Nagi no Asu kara,TV,26,2013,339490,8.2
302,#area23623,Non Non Biyori Repeat,TV,12,2015,101776,8.2
304,#area24277,Yowamushi Pedal: Grande Road,TV,24,2014,77651,8.2
305,#area24833,Ansatsu Kyoushitsu,TV,22,2015,657655,8.2
306,#area232,Cardcaptor Sakura,TV,70,1998,252752,8.2
309,#area37675,Overlord III,TV,13,2018,217392,8.2
310,#area721,Princess Tutu,TV,38,2002,99504,8.2
311,#area11123,Sekaiichi Hatsukoi 2,TV,12,2011,94802,8.2
312,#area1559,Shijou Saikyou no Deshi Kenichi,TV,50,2006,180993,8.2
313,#area440,Shoujo Kakumei Utena,TV,39,1997,113871,8.2
314,#area2025,Darker than Black: Kuro no Keiyakusha,TV,25,2007,595968,8.2
316,#area239,Gankutsuou,TV,24,2004,140867,8.2
317,#area16706,Kami nomi zo Shiru Sekai: Megami-hen,TV,12,2013,204203,8.2
318,#area8129,Kuragehime,TV,11,2010,142467,8.2
319,#area14513,Magi: The Labyrinth of Magic,TV,25,2012,511836,8.2
320,#area2581,Mobile Suit Gundam 00,TV,25,2007,151569,8.2
321,#area11597,Nisemonogatari,TV,11,2012,394224,8.2
322,#area1827,Seirei no Moribito,TV,26,2007,140229,8.2
325,#area34076,Uchouten Kazoku 2,TV,12,2017,37428,8.2
326,#area2167,Clannad,TV,23,2007,789278,8.1
329,#area18689,Diamond no Ace,TV,75,2013,118186,8.1
331,#area7054,Kaichou wa Maid-sama!,TV,26,2010,570934,8.1
334,#area1735,Naruto: Shippuuden,TV,500,2007,874387,8.1
335,#area28025,Tsukimonogatari,TV,4,2014,201974,8.1
336,#area23283,Zankyou no Terror,TV,11,2014,558204,8.1
337,#area27833,Durarara!!x2 Ketsu,TV,12,2016,200760,8.1
340,#area8425,Gosick,TV,24,2011,328878,8.1
341,#area18679,Kill la Kill,TV,24,2013,837058,8.1
342,#area12031,Kingdom,TV,38,2012,83496,8.1
343,#area30831,Kono Subarashii Sekai ni Shukufuku wo!,TV,10,2016,672682,8.1
345,#area35857,Lupin III: Part 5,TV,24,2018,15414,8.1
347,#area35838,Shoujo Shuumatsu Ryokou,TV,12,2017,134608,8.1
349,#area25013,Akatsuki no Yona,TV,24,2014,373357,8.1
350,#area1974,Glass no Kamen (2005),TV,51,2005,23565,8.1
352,#area33206,Kobayashi-san Chi no Maid Dragon,TV,13,2017,411157,8.1
353,#area3927,Mobile Suit Gundam 00 Second Season,TV,25,2008,106801,8.1
358,#area135,Hikaru no Go,TV,75,2001,88724,8.1
359,#area186,Initial D Second Stage,TV,13,1999,81615,8.1
361,#area2034,Lovely★Complex,TV,24,2007,320805,8.1
362,#area1914,Saiunkoku Monogatari 2nd Season,TV,39,2007,28678,8.1
367,#area27663,Baby Steps 2nd Season,TV,25,2015,56207,8.1
370,#area16918,Gin no Saji,TV,11,2013,171310,8.1
372,#area12189,Hyouka,TV,22,2012,582249,8.1
373,#area15059,Initial D Fifth Stage,TV,14,2012,52712,8.1
374,#area1486,Kodomo no Omocha (TV),TV,102,1996,36765,8.1
376,#area31174,Osomatsu-san,TV,25,2015,104919,8.1
378,#area32995,Yuri!!! on Ice,TV,12,2016,313790,8.1
380,#area1482,D.Gray-man,TV,103,2006,448058,8.1
381,#area2164,Dennou Coil,TV,26,2007,100899,8.1
382,#area223,Dragon Ball,TV,153,1986,483683,8.1
383,#area72,Full Metal Panic? Fumoffu,TV,12,2003,214378,8.1
386,#area7791,K-On!!,TV,26,2010,346574,8.1
388,#area237,Koukyoushihen Eureka Seven,TV,50,2005,323014,8.1
389,#area20507,Noragami,TV,12,2014,940334,8.1
392,#area6211,Tokyo Magnitude 8.0,TV,11,2009,172681,8.1
398,#area23289,Gekkan Shoujo Nozaki-kun,TV,12,2014,455019,8.1
400,#area14713,Kamisama Hajimemashita,TV,13,2012,288576,8.1
401,#area302,Mirai Shounen Conan,TV,26,1978,24441,8.1
402,#area30015,ReLIFE,TV,13,2016,444204,8.1
403,#area36474,Sword Art Online: Alicization,TV,15,2018,225402,8.1
404,#area25879,Working!!!,TV,13,2015,136706,8.1
405,#area32615,Youjo Senki,TV,12,2017,301032,8.1
406,#area31173,Akagami no Shirayuki-hime 2nd Season,TV,12,2016,153489,8.1
